"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"136879","RTX 5060 Ti","1","0.23","False","12th Gen Core™ i7-12700KF","20","20","64","0.74","11.9","1422.6","1800","1581.5","2.67","4","0.2",,"MAG Z790 TOMAHAWK MAX WIFI ","7.96"
,"37642","RTX 5060 Ti","1","0.15","False","AMD EPYC 7352 24-Core Processor","48","12","32","0.32","13.2","1838.84","718.2","765.3","27.31","27.31","0.1",,"H12D-8D","15.93"
,"47533","RTX 5060 Ti","1","0.2","False","Xeon® E5-2680 v4 ","56","28","32","0.13","6.6","355","865.8","929.6","0","0","0.2",,"X99","15.93"
,"49732","RTX 5060 Ti","1","0.14","False","AMD EPYC 7H12 64-Core Processor","128","10.67","32","0.8","13.6","6673.45","4458.1","1676.2","2.67","1.33","0.48",,"ROMED16QM3","15.93"
,"102239","RTX 5060 Ti","1","0.18","False","Core™ i5-14400F","16","8","32","0.29","0.8","4346.33","932.6","560.3","2.67","10.67","0.2",,"PRO Z790-P WIFI ","15.93"
,"105948","RTX 5060 Ti","1","0.14","False","AMD EPYC 7302P 16-Core Processor","32","6.4","32","0.28","13.8","3544.3","102.6","99.5","40","40","0.29",,"MZ32-001-A1","15.93"
,"57473","RTX 5060 Ti","1","0.19","False","AMD EPYC 7551P 32-Core Processor","64","32","64","0.29","6.9","1680","2130.5","1371.6","2.67","4","0.2",,"H11SSL-i","15.93"
,"55659","RTX 5060 Ti","1","0.16","False","AMD EPYC 7B12 64-Core Processor","128","16","32","0.34","13.1","3620.2","1782.9","1754.6","40","40","0.29",,"S8030GM2NE","15.93"
,"32593","RTX 5060 Ti","1","0.19","False","AMD Ryzen 9 5950X 16-Core Processor","32","16","32","0.78","6.9","204","594.7","319.3","13.33","13.33","0.67",,"X470 GAMING PLUS MAX ","15.93"
,"13124","RTX 5060 Ti","1","0.3","False","AMD EPYC 7402P 24-Core Processor","48","8","64","2.76","13.3","5323.9","2090.2","2310.2","40","40","0.11",,"ROMED8-2T","15.93"
