"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"59343","RTX PRO 6000 WS","2","0.75","False","AMD Ryzen 9 7950X3D 16-Core Processor","32","32","128","2.52","27.5","3305","300.3","375.4","2.67","4","0.2",,"X870E AERO X3D WOOD","95.59"
,"124192","RTX PRO 6000 WS","2","0.73","False","AMD Ryzen Threadripper PRO 7975WX 32-Cores","64","64","256","2.76","54.3","4902","880.1","164.8","2.67","4","0.13",,"Pro WS WRX90E-SAGE SE","95.59"
,"56252","RTX PRO 6000 WS","2","1.15","False","AMD EPYC 9374F 32-Core Processor","64","64","256","5.66","54.2","9209","794.9","433.8","6.67","6.67","0.13",,"GENOAD8X-2T","95.59"
,"41278","RTX PRO 6000 WS","2","1.05","False","AMD Ryzen Threadripper PRO 5955WX 16-Cores","32","32","256","2.91","26.6","2757.66","922.4","927.6","4.1","4.1","0.27",,"Pro WS WRX80E-SAGE SE WIFI","95.59"
,"58258","RTX PRO 6000 WS","2","0.98","False","AMD EPYC 7452 32-Core Processor","64","32","256","2.52","27","4217","2283.9","1312.2","2.67","2.67","0.25",,"ROMED8-2T","95.59"
,"42730","RTX PRO 6000 WS","2","0.9","False","AMD Ryzen Threadripper 9970X 32-Cores","64","64","256","2.09","55.1","6319.7","1275","1619.8","2.67","4","0.33",,"Pro WS TRX50-SAGE WIFI A","95.59"
,"119971","RTX PRO 6000 WS","2","1","False","AMD EPYC 7543 32-Core Processor","64","32","256","1.59","26.7","5592","6592.1","5566.5","2.67","4","0.23",,"ROMED8-2T","95.59"
,"111998","RTX PRO 6000 WS","2","0.99","False","AMD EPYC 7452 32-Core Processor","64","32","256","2.02","17.6","3843.1","6411.9","4890.6","2.67","2.67","0.25",,"ROMED8-2T","95.59"
,"50925","RTX PRO 6000 WS","2","1","False","AMD Ryzen Threadripper 3960X 24-Core Processor","48","48","256","1.82","25.3","230.7","893.2","885.6","2.67","4","0.4",,"PRIME TRX40-PRO","95.59"
,"88261","RTX PRO 6000 WS","2","0.7","False","Xeon® Gold 6126 ","22","22","256","4.08","13.2","1759","891","881.3","2.67","4","0.2",,,"95.59"
,"56669","RTX PRO 6000 WS","2","1","False","Xeon® Gold 6434","32","16","256","0.14","53.6","3191","873.9","916.3","0","0","0.2",,"Z13PG-D32 Series","95.59"
