"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"51617","RTX 4090","3","0.45","False","AMD EPYC 7742 64-Core Processor","256","109.71","512","2.78","24.9","8348","1798.8","1328.4","0.4","0.4","0.67",,"ROME2D32GM-2T","23.99"
,"11184","RTX 4090","3","0.85","False","AMD EPYC 7K62 48-Core Processor","96","96","512","4.69","25","3991.15","7123.9","4199","2.67","4","0.13",,"H12SSL-i","23.99"
,"56522","RTX 4090","3","0.2","False","AMD EPYC 7532 32-Core Processor","64","64","256","3.09","23.7","2670","928.9","936.9","2.67","4","0.2",,"MZ32-AR0-00","23.99"
,"57073","RTX 4090","3","0.3","False","AMD EPYC 9754 128-Core Processor","128","54.86","256","1.2","25.6","3362.5","940.8","933","1.33","2.67","0.13",,"GRANDO","23.99"
,"24352","RTX 4090","3","0.76","False","AMD Ryzen Threadripper PRO 5975WX 32-Cores","64","64","512","2.38","24.4","3433","1993.5","194.2","2.67","4","0.13",,"1046","47.99"
,"38647","RTX 4090","3","0.75","False","AMD EPYC 9124 16-Core Processor","32","32","384","4.73","25.5","5048","3485.1","6538.1","5.33","10.67","0.27",,"H13SSL-NT","47.99"
,"4590","RTX 4090","3","0.5","False","AMD Ryzen Threadripper PRO 5995WX 64-Cores","128","54.86","128","0.53","24.3","2878.23","747.8","833.8","13.65","13.65","0.27",,"Pro WS WRX80E-SAGE SE WIFI","23.99"
,"34582","RTX 4090","3","0.47","False","AMD EPYC 7542 32-Core Processor","128","54.86","384","1.29","21.7","2501.86","142.5","34.2","5.33","4","0.2",,"H12DSG-O-","47.99"
,"17403","RTX 4090","3","0.45","False","AMD EPYC 7V12 64-Core Processor","128","128","512","4.16","23.8","9246","916.4","941.4","2.84","4","0.2",,"MZ32-AR0-00","23.99"
