"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"56458","RTX 4090","8","0.7","False","AMD EPYC 7B13 64-Core Processor","256","204.8","768","6.07","13.1","6709","7962.2","6345.5","40","40","0.67",,"ROME2D32GM-2T","47.99"
,"57250","RTX 4090","8","0.6","False","AMD EPYC 7B13 64-Core Processor","256","170.67","512","5.18","12.8","5385","8807.3","5620.4","40","40","0.67",,"ROME2D32GM-2T","47.99"
,"31219","RTX 4090","8","0.91","False","AMD EPYC 7702 64-Core Processor","256","146.29","1024","3.18","12.8","2486.25","773.7","809.4","40","40","0.2",,"ROME2D32GM-2T","47.99"
,"55264","RTX 4090","8","0.75","False","AMD EPYC 7773X 64-Core Processor","256","256","1024","6.94","23.2","16281.6","1455.5","795.1","13.33","13.33","0.33",,"ROME2D32GM-2T","47.99"
,"38442","RTX 4090","8","0.6","False","AMD EPYC 7542 32-Core Processor","128","128","768","4.81","20.7","1508.01","230.2","50.9","5.33","4","0.2",,"H12DSG-O-","47.99"
,"43645","RTX 4090","8","0.75","False","AMD EPYC 9354 32-Core Processor","128","128","768","2.06","25.6","7126","5017.4","4689.2","5.33","10.67","0.4",,"H13DSG-O-","47.99"
,"29558","RTX 4090","8","0.7","False","AMD EPYC 7542 32-Core Processor","128","128","512","1.16","22.1","291.15","143","38","5.33","4","0.2",,"H12DSG-O-","47.99"
,"39323","RTX 4090","8","0.58","False","AMD EPYC 7542 32-Core Processor","128","128","768","1.69","24.2","2535.7","363","45.5","5.33","4","0.2",,"H12DSG-O-","47.99"
,"39012","RTX 4090","8","0.5","False","AMD EPYC 7542 32-Core Processor","128","128","768","4.09","23.2","1530","139.7","43","5.33","4","0.2",,"H12DSG-O-","47.99"
,"7506","RTX 4090","8","0.5","False","AMD EPYC 7B13 64-Core Processor","256","256","512","2.78","21.7","6675","3505.9","1547.7","2.67","2.67","0.2",,"ROME2D32GM-2T","23.99"
,"20082","RTX 4090","8","0.6","False","AMD EPYC 7B13 64-Core Processor","256","256","1024","8.5","25.1","10537.22","608","848.9","33.33","33.33","0.33",,"ROME2D32GM-2T","23.99"
,"33405","RTX 4090","8","0.74","False","AMD EPYC 7B13 64-Core Processor","256","256","1024","22.17","24.2","16087.72","601.2","893.9","33.33","33.33","0.33",,"ROME2D32GM-2T","23.99"
,"44336","RTX 4090","8","1","False","AMD EPYC 7763 64-Core Processor","256","256","768","4.67","25.1","14540.8","7500.7","5653.3","40","40","0.33",,"ROME2D32GM-2T","23.99"
,"93718","RTX 4090","8","0.3","False","AMD EPYC 7702 64-Core Processor","256","256","512","2.06","16.1","5963","8083.8","5860.5","0","0","0.2",,"H12DSG-O-","23.99"
,"81386","RTX 4090","8","0.6","False","AMD EPYC 7V13 64-Core Processor","256","256","512","0.87","23.9","2136","4282.9","1363.8","2.67","4","0.4",,"ROME2D32GM-2T","23.99"
,"51678","RTX 4090","8","0.5","False","Xeon® Gold 6133 ","80","80","384","1.68","11.7","1571.9","7782.1","5801.3","0","0","0.4",,"X11DPG-OT-","23.99"
