"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"24764","RTX 4090","6","0.52","False","AMD EPYC 7T83 64-Core Processor","256","256","1024","8.92","24","2948.86","8275.2","7833.3","26.67","26.67","0.33",,"KMPG-D32 Series","23.99"
,"12492","RTX 4090","6","0.43","False","AMD EPYC 7642 48-Core Processor","96","96","512","5.95","25","2503","6193.9","6028.3","29.33","29.33","0.23",,"ROMED8-2T","23.99"
,"54269","RTX 4090","6","0.1","False","Xeon® E5-2696 v3 ","72","72","192","5.54","1.5","13.5","1483","1085.9","2.67","4","0.2",,,"24"
