"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"116317","RTX 4090","14","0.7","False","AMD EPYC 7B13 64-Core Processor","256","256","1024","16.12","11","11468.8","6345.3","4572.8","10.67","10.67","0.67",,"ROME2D32GM-2T","47.99"
,"20004","RTX 4090","14","0.91","False","AMD EPYC 7702 64-Core Processor","256","256","512","2.5","12.8","3086.3","937.8","24.6","40","40","0.24",,"ROME2D32GM-2T","23.99"
,"14637","RTX 4090","14","0.8","False","AMD EPYC 7702 64-Core Processor","256","256","1024","6.07","24.9","3818","6459","3876.3","1.33","2.67","0.2",,"H12DSi-N6","23.99"
