"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"81478","RTX 4090","2","0.5","False","AMD EPYC 7V13 64-Core Processor","256","64","128","0.22","23.8","6017","4696.6","1449.7","2.67","4","0.4",,"ROME2D32GM-2T","23.99"
,"44336","RTX 4090","2","1","False","AMD EPYC 7763 64-Core Processor","256","64","192","1.17","25.1","14540.8","7500.7","5653.3","40","40","0.33",,"ROME2D32GM-2T","23.99"
,"77033","RTX 4090","2","0.55","False","Xeon® Gold 6133 ","80","32","128","0.96","11.7","1510","4385","1453.3","2.67","4","0.2",,"X11DPG-OT-","23.99"
,"14718","RTX 4090","2","0.5","False","AMD Ryzen Threadripper PRO 3955WX 16-Cores","32","12.8","256","0.49","24.1","3702","755.7","753.8","0","0","0.2",,"M12SWA-TF","23.99"
,"20004","RTX 4090","2","0.91","False","AMD EPYC 7702 64-Core Processor","256","36.57","96","0.36","12.8","3086.3","937.8","24.6","40","40","0.24",,"ROME2D32GM-2T","23.99"
,"10029","RTX 4090","2","0.48","False","AMD EPYC 9554 64-Core Emb Processor","256","64","96","1.18","25.6","1705.86","753.1","887.8","13.33","13.33","0.13",,"TURIN2D24G-2L","23.99"
,"51751","RTX 4090","2","0.5","False","AMD EPYC 7742 64-Core Processor","256","64","128","1.23","24.8","7226.7","1717.5","1289.3","0.4","0.4","0.67",,"ROME2D32GM-2T","23.99"
,"19248","RTX 4090","2","0.52","False","AMD EPYC 7773X 64-Core Processor","256","36.57","192","0.52","12.6","5195","737.8","451.5","1.33","1.33","0.12",,"ROME2D32GM-2T","23.99"
,"101699","RTX 4090","2","0.5","False","AMD EPYC 9B14 96-Core Processor","384","96","96","0.3","25.6","3427","911.8","911.2","40","40","0.29",,"GENOA2D24G-2L","23.99"
,"13450","RTX 4090","2","0.5","False","AMD EPYC 7B13 64-Core Processor","256","64","256","0.66","12.6","1595.7","5616.6","1914.1","9.33","12","0.33",,"ROME2D32GM-2T","23.99"
,"25798","RTX 4090","2","0.65","False","AMD EPYC 7702 64-Core Processor","256","42.67","384","0.98","12.8","2228","824.1","846","40","40","0.24",,"ROME2D32GM-2T","23.99"
,"31726","RTX 4090","2","0.5","False","Xeon® E5-1620 v4 ","8","8","64","0.37","11.3","2538","427.9","394.9","1.33","2.67","0.4",,"X99-E-10G WS","23.99"
