"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"33405","RTX 4090","2","0.74","False","AMD EPYC 7B13 64-Core Processor","256","64","256","5.54","20.2","16087.72","601.2","893.9","33.33","33.33","0.33",,"ROME2D32GM-2T","23.99"
,"81386","RTX 4090","2","0.6","False","AMD EPYC 7V13 64-Core Processor","256","64","128","0.22","20.2","2136","4282.9","1363.8","2.67","4","0.4",,"ROME2D32GM-2T","23.99"
,"20082","RTX 4090","2","0.6","False","AMD EPYC 7B13 64-Core Processor","256","64","256","2.12","24.3","10537.22","608","848.9","33.33","33.33","0.33",,"ROME2D32GM-2T","23.99"
,"44336","RTX 4090","2","1","False","AMD EPYC 7763 64-Core Processor","256","64","192","1.17","24.1","14540.8","7500.7","5653.3","40","40","0.33",,"ROME2D32GM-2T","23.99"
,"15969","RTX 4090","2","0.3","False","AMD Ryzen Threadripper PRO 3975WX 32-Cores","64","25.6","256","0.33","25.4","3591","4128.3","3084.1","2.8","4.13","0.2",,"MC62-G40-00","23.99"
,"42075","RTX 4090","2","0.28","False","AMD Ryzen Threadripper PRO 3975WX 32-Cores","64","25.6","256","0.78","25","3152","4652.8","3564.5","2.8","4.13","0.2",,"Pro WS WRX80E-SAGE SE WIFI","23.99"
,"15493","RTX 4090","2","0.3","False","AMD EPYC 7282 16-Core Processor","32","12.8","256","0.08","25","3616","4002.2","3661.2","2.8","4.13","0.15",,"H12SSL-NT","23.99"
,"15391","RTX 4090","2","0.26","False","AMD EPYC 7282 16-Core Processor","32","12.8","192","0.17","25","3846","4228.2","3964.9","0","0","0.15",,"H12SSL-NT","23.99"
,"16395","RTX 4090","2","0.3","False","AMD Ryzen Threadripper PRO 3995WX 64-Cores","128","51.2","256","0.38","25","4396.2","4072.3","3223.7","2.8","4.13","0.2",,"Pro WS WRX80E-SAGE SE WIFI","23.99"
,"76756","RTX 4090","2","0.5","False","Xeon® Gold 6133 ","80","32","128","0.77","11.7","2036","5282.7","1891","2.67","4","0.2",,"X11DPG-OT-","23.99"
,"67877","RTX 4090","2","0.28","False","Xeon® Gold 6133 ","80","40","128","1.24","11.7","1984.77","7415.5","6564.6","2.67","4","0.2",,"X11DPG-OT-","23.99"
,"17164","RTX 4090","2","0.6","False","AMD EPYC 7763 64-Core Processor","128","64","256","0.96","25.5","7475","7300.2","7691.7","40","40","0.33",,"H12SSL-i","23.99"
,"32809","RTX 4090","2","0.75","False","AMD EPYC 7B13 64-Core Processor","128","32","128","2.87","12.8","8428","620.2","852.5","40","40","0.4",,"ROMED16QM3","23.99"
,"16299","RTX 4090","2","0.3","False","AMD Ryzen Threadripper PRO 3955WX 16-Cores","32","12.8","256","0.27","25.4","3584","4296","3552.5","2.67","4","0.2",,"MC62-G40","23.99"
,"15967","RTX 4090","2","0.3","False","AMD Ryzen Threadripper PRO 3955WX 16-Cores","32","12.8","256","0.53","25.5","3632","3726.1","2605.6","2.8","4.13","0.2",,"M12SWA-TF","23.99"
,"18190","RTX 4090","2","0.28","False","AMD Ryzen Threadripper PRO 3955WX 16-Cores","32","12.8","256","0.51","24.4","3375.66","720.1","697.1","0","0","0.2",,"M12SWA-TF","23.99"
,"14630","RTX 4090","2","0.26","False","AMD Ryzen Threadripper PRO 3955WX 16-Cores","32","12.8","256","0.32","25.5","3586","675.2","568","2.8","4.13","0.2",,"M12SWA-TF","23.99"
,"18857","RTX 4090","2","0.74","False","AMD EPYC 7702 64-Core Processor","256","64","192","1.28","24.3","5509","764.7","831","2.73","4.1","0.13",,"ROME2D32GM-2T","23.99"
,"17049","RTX 4090","2","0.65","False",,"256","64","128","2.93","12.4","6278.2","904.8","722.7","1.17","1.17","0.11",,"ROME2D32GM-2T","23.99"
,"26487","RTX 4090","2","0.63","False","AMD EPYC 7713 64-Core Processor","256","64","128","1.28","24.7","5744","726.4","876.9","0","0","0.13",,"ROME2D32GM-2T","23.99"
,"9624","RTX 4090","2","0.48","False","AMD EPYC 9554 64-Core Processor","256","64","128","0.56","25.6","3062.6","802.4","899.7","13.33","13.33","0.13",,"TURIN2D24G-2L","23.99"
,"14205","RTX 4090","2","0.55","False","AMD EPYC 7C13 64-Core Processor","256","42.67","192","0.14","12.8","1426.62","6025.2","2441.6","40","53.33","0.27",,"ROME2D32GM-2T","23.99"
,"10447","RTX 4090","2","0.5","False","AMD EPYC 7V13 64-Core Processor","256","64","256","2.63","21.9","8434","2167.8","210.1","1.33","1.33","0.07",,"ROME2D32GM-2T","23.99"
,"47421","RTX 4090","2","0.45","False","AMD EPYC 7B13 64-Core Processor","256","64","256","2.96","23.7","8803","6353.4","6742.6","2.67","4","0.13",,"ROME2D32GM-2T","23.99"
,"51751","RTX 4090","2","0.5","False","AMD EPYC 7742 64-Core Processor","256","64","128","1.23","25","7226.7","1717.5","1289.3","0.4","0.4","0.67",,"ROME2D32GM-2T","23.99"
