"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"34798","Q RTX 8000","2","0.19","False","Xeon® Gold 6244 ","32","21.33","128","0.14","7","284","747.1","825.7","0.01","0.01","0.13",,"X11DGQ","48"
,"52305","Q RTX 8000","2","0.18","False","Xeon® Gold 6130 ","64","32","192","0.25","11.7","3209","6728.7","2899.2","0.73","0.73","0.07",,"044WHV","48"
,"115469","Q RTX 8000","2","0.21","False","Xeon® Gold 6230 ","80","40","192","1.07","11.7","3282","8450.2","3495.2","1.33","1.33","0.2",,"013M88","48"
,"41015","Q RTX 8000","2","0.19","False","Xeon® E5-2690 v4 ","56","28","128","1.12","11.8","1818","7786.7","2871.3","0.73","0.73","0.1",,"0VCHW8","45"
,"18993","Q RTX 8000","2","0.18","False","Xeon® E5-2680 v4 ","56","28","192","1.2","11.5","158","7313","2898.8","0.73","0.73","0.1",,"0VCHW8","45"
,"15167","Q RTX 8000","2","0.19","False","Xeon® E5-2698 v4 ","80","20","96","0.07","8.9","1439","831.5","893.1","0.01","0.01","0.13",,"X10DRG-OT","45"
,"34599","Q RTX 8000","2","0.44","False","AMD EPYC 7282 16-Core Processor","32","32","64","0.91","12","2374.3","918.8","854.7","0","0","0.2",,"H11SSW-NT","45"
,"107902","Q RTX 8000","2","0.57","False","Xeon® Silver 4110 ","32","32","192","0.17","11.3","1942","707","696.2","2.67","4","0.2",,"S7105AGM2NR-2T","48"
