"Verified","MachineID","GPU","NumGPUs","PricePerHour","Rented","CPU","CPUCores","CPUCoresEffective","RAM","Storage","PCIE","DiskBW","InetDown","InetUp","InternetDownCostPerTB","InternetUpCostPerTB","StorageCost","Location","MoboName","VRAM_GB"
,"18993","Q RTX 8000","1","0.18","False","Xeon® E5-2680 v4 ","56","14","96","0.6","11.3","158","7313","2898.8","0.73","0.73","0.1",,"0VCHW8","45"
,"27081","Q RTX 8000","1","0.2","False","Xeon® Gold 6226 ","48","12","64","0.63","11.7","5229","7864.1","5959.7","26.67","26.67","0.2",,"X11DPG-QT","45"
,"34599","Q RTX 8000","1","0.44","False","AMD EPYC 7282 16-Core Processor","32","16","32","0.45","12","2374.3","918.8","854.7","0","0","0.2",,"H11SSW-NT","45"
,"52305","Q RTX 8000","1","0.18","False","Xeon® Gold 6130 ","64","16","96","0.13","11.7","3209","6728.7","2899.2","0.73","0.73","0.07",,"044WHV","48"
,"52304","Q RTX 8000","1","0.18","False","Xeon® Gold 6130 ","64","16","96","0.52","11.7","2746","6952.1","3438.4","0.73","0.73","0.09",,"0XCW9T","48"
,"34798","Q RTX 8000","1","0.19","False","Xeon® Gold 6244 ","32","10.67","64","0.07","7","284","747.1","825.7","0.01","0.01","0.13",,"X11DGQ","48"
,"107902","Q RTX 8000","1","0.57","False","Xeon® Silver 4110 ","32","16","96","0.09","11.3","1942","707","696.2","2.67","4","0.2",,"S7105AGM2NR-2T","48"
